"","trial","accent","stress","type","target","stressed.syllable.L1","stressed.syllable.L2","L1.L2","Nsyllables_correct","condition","stressSCORE","sDURz","peakAMPz","peakF0z","peakDEC","stressed_mistimingL2L1","correct","asynchrony","asynchrony_L2L1","time_syl_L2","time_syl_L1","time_stress","time_beat","stressed_syllable","syllables_detected","ppn","stressed_mistiming_raw"
"23","C2.I.2","no","difference","-written accent, +stress difference","vacaciones",2,3,-1,4,"nogesture",1.1632684473487,0.285705985432556,1.915610802715,1.32373911290912,-0.00578234646172859,0,"L2 correct",506,506,1451,1245,1451,1957,3,4,"Pilot_PPN_1",0
"24","C2.I.3","no","difference","-written accent, +stress difference","profesor",2,3,-1,3,"nogesture",1.44466263850442,0.978195671999995,1.81637959026107,1.58319030896445,-0.00764404062465474,0,"L2 correct",155,155,1441,1250,1441,1596,3,3,"Pilot_PPN_1",0
"25","C2.I.4","no","difference","-written accent, +stress difference","ventilador",3,4,-1,4,"nogesture",1.2790312098548,0.618367193443738,2.39460477623791,0.862880181393514,-0.00675065351401827,-516,"L2 incorrect & L1 mismatch",491,491,1606,1366,1090,1581,1,4,"Pilot_PPN_1",0
"26","C2.I.5","no","difference","-written accent, +stress difference","internet",1,3,-2,3,"nogesture",1.03961140428573,1.01460759177345,1.40160861172836,0.734121385242834,-0.00428603574778208,0,"L2 correct",160,160,1541,1175,1541,1701,3,3,"Pilot_PPN_1",0
"27","C2.I.6","no","difference","-written accent, +stress difference","mamut",1,2,-1,2,"nogesture",0.738718248733738,0.668078181183861,0.855229443988532,0.715232522505601,-0.0116495193883566,0,"L2 correct",60,60,1125,985,1125,1185,2,2,"Pilot_PPN_1",0
"28","C2.I.7","no","difference","-written accent, +stress difference","horizonte",1,3,-2,4,"nogesture",1.11475176798662,0.504282777371372,1.70247502977693,1.17127785341722,-0.544294081041471,0,"L2 correct",-86,-86,1341,1020,1341,1255,3,4,"Pilot_PPN_1",0
"29","C2.I.8","no","difference","-written accent, +stress difference","doctor",1,2,-1,2,"nogesture",1.61043451321045,0.971467103806227,2.4124545958852,1.49618288579478,-0.00822922687666505,-316,"L2 correct",501,501,1341,1025,1025,1526,1,2,"Pilot_PPN_1",0
"30","C2.I.9","no","difference","-written accent, +stress difference","radiador",2,3,-1,3,"nogesture",0.685539290260455,1.19178141314894,0.353743293312772,0.531867082206333,-0.00905267941197963,0,"L2 correct",-50,-50,1441,1290,1441,1391,3,3,"Pilot_PPN_1",0
"31","C2.I.10","no","difference","-written accent, +stress difference","ilustrador",3,4,-1,4,"nogesture",1.19033355141787,1.41499766831997,1.23108184371204,0.960991855900939,-0.0106869928606557,0,"L2 correct",181,181,1766,1596,1766,1947,4,4,"Pilot_PPN_1",0
"32","C2.I.11","no","difference","-written accent, +stress difference","color",1,2,-1,2,"nogesture",0.816126141343225,0.673690511938421,0.839889044451971,0.959529962831502,-0.0110999772718969,0,"L2 correct",60,60,1055,1020,1055,1115,2,2,"Pilot_PPN_1",0
"33","C2.I.12","no","difference","-written accent, +stress difference","error",1,2,-1,2,"nogesture",0.801232958287896,0.848302555035868,0.639416836017124,0.94025927042548,-0.00833984047312697,0,"L2 correct",-40,-40,1205,1025,1205,1165,2,2,"Pilot_PPN_1",0
"34","C2.I.13","no","difference","-written accent, +stress difference","factor",1,2,-1,2,"nogesture",1.44375674705114,0.930953128019851,1.75407358910666,1.689993728483,-5.18259014760679,0,"L2 correct",-10,-10,1411,1140,1411,1401,2,2,"Pilot_PPN_1",0
"35","C2.I.14","no","difference","-written accent, +stress difference","festival",1,3,-2,3,"nogesture",1.04892769237538,1.1119870808313,1.12589854171362,0.940683142228971,-0.0118618185122159,0,"L2 correct",-85,-85,1566,1230,1566,1481,3,3,"Pilot_PPN_1",0
"36","C2.I.15","no","difference","-written accent, +stress difference","uniforme",1,3,-2,4,"nogesture",1.32626029385155,0.827819466622759,2.1856679337349,1.00548318707126,-0.00580968449025931,-255,"L2 incorrect & L1 mismatch",476,476,1621,1361,1366,1842,2,4,"Pilot_PPN_1",0
"37","C2.I.16","no","difference","-written accent, +stress difference","alcohol",1,3,-2,3,"nogesture",0.96467949723998,1.22118148550826,0.987533894360236,0.714555823889018,-0.00751743595583321,0,"L2 correct",-166,-166,1336,1055,1336,1170,3,3,"Pilot_PPN_1",0
"38","C2.I.17","no","difference","-written accent, +stress difference","actor",2,2,0,2,"nogesture",1.52486180033232,0.788108247916533,2.11783514050079,1.71484994592305,-4.04276812897314,0,"L2 correct",205,205,1411,1411,1411,1616,2,2,"Pilot_PPN_1",0
"39","C2.I.18","no","difference","-written accent, +stress difference","alergia",3,2,1,3,"nogesture",1.34015614510669,1.09220826821424,1.83294213160247,1.13592882777931,-0.018735446282335,0,"L2 correct",351,-351,1676,2062,1676,2027,2,3,"Pilot_PPN_1",0
"40","C2.I.19","no","difference","-written accent, +stress difference","farmacia",3,2,1,3,"nogesture",1.26752787733197,1.6097084042918,1.23735676693473,0.993928396446116,-0.0153283202805596,0,"L2 correct",456,-456,1180,1521,1180,1636,2,3,"Pilot_PPN_1",0
"41","C2.I.20","no","difference","-written accent, +stress difference","aristocracia",5,4,1,5,"nogesture",1.18186734245441,1.16941250147716,1.23645304644123,1.17555064133741,-0.0142848889156539,-265,"L2 correct",55,-55,1792,2057,2057,2112,5,5,"Pilot_PPN_1",0
