"","X","trial","accent","stress","type","target","condition","block","rt","ppn"
"47",47,"C3.I.5","yes","same","+written accent, -stress difference","fútbol","gesture",1,3.10062694549561,"pilot_1_lieke"
"40",40,"C2.I.19","no","difference","-written accent, +stress difference","farmacia","gesture",0,3.22393393516541,"pilot_1_lieke"
"12",12,"C1.I.12","yes","difference","+written accent, +stress difference","océano","gesture",0,3.0641770362854,"pilot_1_lieke"
"27",27,"C2.I.6","no","difference","-written accent, +stress difference","mamut","gesture",0,3.06258010864258,"pilot_1_lieke"
"51",51,"C3.I.9","yes","same","+written accent, -stress difference","círculo","gesture",0,3.0929388999939,"pilot_1_lieke"
"16",16,"C1.I.16","yes","difference","+written accent, +stress difference","gramófono","gesture",0,3.08638596534729,"pilot_1_lieke"
"35",35,"C2.I.14","no","difference","-written accent, +stress difference","festival","gesture",1,3.11015701293945,"pilot_1_lieke"
"70",70,"C4.I.7","no","same","-written accent, -stress difference","cables","gesture",0,3.0807101726532,"pilot_1_lieke"
"41",41,"C2.I.20","no","difference","-written accent, +stress difference","aristocracia","gesture",0,3.07077789306641,"pilot_1_lieke"
"74",74,"C4.I.11","no","same","-written accent, -stress difference","ensalada","gesture",0,3.08571696281433,"pilot_1_lieke"
"7",7,"C1.I.7","yes","difference","+written accent, +stress difference","teléfono","gesture",0,3.08341193199158,"pilot_1_lieke"
"14",14,"C1.I.14","yes","difference","+written accent, +stress difference","católico","gesture",0,3.0760931968689,"pilot_1_lieke"
"57",57,"C3.I.15","yes","same","+written accent, -stress difference","teoría","gesture",1,3.07948088645935,"pilot_1_lieke"
"52",52,"C3.I.10","yes","same","+written accent, -stress difference","álbum","gesture",0,3.06736016273499,"pilot_1_lieke"
"23",23,"C2.I.2","no","difference","-written accent, +stress difference","vacaciones","gesture",0,3.11022400856018,"pilot_1_lieke"
"33",33,"C2.I.12","no","difference","-written accent, +stress difference","error","gesture",0,3.05377984046936,"pilot_1_lieke"
"26",26,"C2.I.5","no","difference","-written accent, +stress difference","internet","gesture",0,3.06849408149719,"pilot_1_lieke"
"78",78,"C4.I.15","no","same","-written accent, -stress difference","blusa","gesture",0,3.05772304534912,"pilot_1_lieke"
"2",2,"C1.I.2","yes","difference","+written accent, +stress difference","centímetro","nogesture",1,3.08082485198975,"pilot_1_lieke"
"6",6,"C1.I.6","yes","difference","+written accent, +stress difference","automóvil","nogesture",0,3.09655499458313,"pilot_1_lieke"
"8",8,"C1.I.8","yes","difference","+written accent, +stress difference","fórmula","nogesture",0,3.0744481086731,"pilot_1_lieke"
"20",20,"C1.I.20","yes","difference","+written accent, +stress difference","cafetería","nogesture",0,3.09196186065674,"pilot_1_lieke"
"71",71,"C4.I.8","no","same","-written accent, -stress difference","proceso","nogesture",0,3.40538716316223,"pilot_1_lieke"
"48",48,"C3.I.6","yes","same","+written accent, -stress difference","saxofón","nogesture",0,3.06817698478699,"pilot_1_lieke"
"68",68,"C4.I.5","no","same","-written accent, -stress difference","tomate","gesture",1,3.0713529586792,"pilot_1_lieke"
"60",60,"C3.I.18","yes","same","+written accent, -stress difference","romántico","gesture",0,3.08017611503601,"pilot_1_lieke"
"17",17,"C1.I.17","yes","difference","+written accent, +stress difference","micrófono","gesture",0,3.28000998497009,"pilot_1_lieke"
"10",10,"C1.I.10","yes","difference","+written accent, +stress difference","satélito","gesture",0,3.07485580444336,"pilot_1_lieke"
"84",84,"C4.E.21","no","same","-written accent, -stress difference","planeta","gesture",0,3.07543420791626,"pilot_1_lieke"
"55",55,"C3.I.13","yes","same","+written accent, -stress difference","pragmática","gesture",0,3.07644295692444,"pilot_1_lieke"
"13",13,"C1.I.13","yes","difference","+written accent, +stress difference","carnívora","nogesture",1,3.21162390708923,"pilot_1_lieke"
"64",64,"C4.I.1","no","same","-written accent, -stress difference","parasol","nogesture",0,3.06965804100037,"pilot_1_lieke"
"59",59,"C3.I.17","yes","same","+written accent, -stress difference","académico","nogesture",0,3.07129192352295,"pilot_1_lieke"
"19",19,"C1.I.19","yes","difference","+written accent, +stress difference","catástrofe","nogesture",0,3.08444499969482,"pilot_1_lieke"
"24",24,"C2.I.3","no","difference","-written accent, +stress difference","profesor","nogesture",0,3.11116218566895,"pilot_1_lieke"
"42",42,"C2.E.21","no","difference","-written accent, +stress difference","elefantes","nogesture",0,3.10083794593811,"pilot_1_lieke"
"30",30,"C2.I.9","no","difference","-written accent, +stress difference","radiador","nogesture",1,3.0878210067749,"pilot_1_lieke"
"62",62,"C3.I.20","yes","same","+written accent, -stress difference","helicóptero","nogesture",0,3.08265805244446,"pilot_1_lieke"
"46",46,"C3.I.4","yes","same","+written accent, -stress difference","número","nogesture",0,3.93233895301819,"pilot_1_lieke"
"65",65,"C4.I.2","no","same","-written accent, -stress difference","universidad","nogesture",0,4.37448000907898,"pilot_1_lieke"
"80",80,"C4.I.17","no","same","-written accent, -stress difference","familia","nogesture",0,3.07405090332031,"pilot_1_lieke"
"43",43,"C3.I.1","yes","same","+written accent, -stress difference","brócoli","nogesture",0,3.08071899414062,"pilot_1_lieke"
"36",36,"C2.I.15","no","difference","-written accent, +stress difference","uniforme","nogesture",1,3.07931900024414,"pilot_1_lieke"
"79",79,"C4.I.16","no","same","-written accent, -stress difference","cabina","nogesture",0,3.09516596794128,"pilot_1_lieke"
"69",69,"C4.I.6","no","same","-written accent, -stress difference","princesa","nogesture",0,3.09155797958374,"pilot_1_lieke"
"72",72,"C4.I.9","no","same","-written accent, -stress difference","papel","nogesture",0,3.07637190818787,"pilot_1_lieke"
"81",81,"C4.I.18","no","same","-written accent, -stress difference","canal","nogesture",0,3.09126305580139,"pilot_1_lieke"
"3",3,"C1.I.3","yes","difference","+written accent, +stress difference","pirámide","nogesture",0,3.08338904380798,"pilot_1_lieke"
"29",29,"C2.I.8","no","difference","-written accent, +stress difference","doctor","nogesture",1,3.07967591285706,"pilot_1_lieke"
"39",39,"C2.I.18","no","difference","-written accent, +stress difference","alergia","nogesture",0,3.06259107589722,"pilot_1_lieke"
"61",61,"C3.I.19","yes","same","+written accent, -stress difference","espárrago","nogesture",0,3.08071804046631,"pilot_1_lieke"
"75",75,"C4.I.12","no","same","-written accent, -stress difference","chocolate","nogesture",0,3.09338593482971,"pilot_1_lieke"
"31",31,"C2.I.10","no","difference","-written accent, +stress difference","ilustrador","nogesture",0,3.55829882621765,"pilot_1_lieke"
"77",77,"C4.I.14","no","same","-written accent, -stress difference","restaurante","nogesture",0,3.06926798820496,"pilot_1_lieke"
"76",76,"C4.I.13","no","same","-written accent, -stress difference","limonada","nogesture",1,3.09794402122498,"pilot_1_lieke"
"63",63,"C3.E.21","yes","same","+written accent, -stress difference","histórico","nogesture",0,3.10816788673401,"pilot_1_lieke"
"56",56,"C3.I.14","yes","same","+written accent, -stress difference","volcán","nogesture",0,3.1855890750885,"pilot_1_lieke"
"18",18,"C1.I.18","yes","difference","+written accent, +stress difference","metáfora","nogesture",0,3.08657193183899,"pilot_1_lieke"
"37",37,"C2.I.16","no","difference","-written accent, +stress difference","alcohol","nogesture",0,3.07927012443542,"pilot_1_lieke"
"50",50,"C3.I.8","yes","same","+written accent, -stress difference","analítico","nogesture",0,3.10082197189331,"pilot_1_lieke"
"53",53,"C3.I.11","yes","same","+written accent, -stress difference","ángel","gesture",1,3.21622109413147,"pilot_1_lieke"
