"","trialboundary","d"
"1",7330,0
"42",10420,2560
"85",13490,2470
"126",17010,2960
"167",20090,2520
"209",23160,2500
"250",30300,6600
"289",33790,2970
"332",36870,2480
"375",39980,2560
"417",43090,2560
"457",46170,2540
"498",53310,6610
"538",56380,2520
"577",59480,2580
"618",62570,2530
"660",65720,2560
"699",69050,2780
"742",76180,6580
"782",79260,2540
"823",82330,2490
"864",85410,2550
"905",88700,2770
"945",91800,2570
"987",98950,6590
"1027",102030,2520
"1068",105250,2690
"1108",108320,2540
"1150",111400,2550
"1194",114500,2530
"1235",121800,6750
"1276",124880,2480
"1317",127950,2520
"1357",131040,2490
"1403",134090,2440
"1444",137180,2520
"1486",144300,6570
"1525",147380,2540
"1569",150460,2470
"1609",153560,2570
"1650",156620,2540
"1689",159720,2560
"1727",166850,6610
"1769",169930,2480
"1810",173000,2520
"1852",176070,2460
"1894",179130,2520
"1937",182440,2760
"1974",189570,6590
"2014",192640,2520
"2056",195690,2500
"2123",199000,1930
"2165",202080,2480
"2207",205190,2570
"2249",212360,6600
"2291",215500,2600
"2330",218590,2570
"2369",221650,2520
"2413",224750,2490
"2452",227800,2500
"2494",234950,6570
"2533",238030,2550
"2575",241130,2520
"2615",244210,2510
"2654",247300,2530
"2697",250370,2530
"2739",257520,6550
"2782",260640,2530
"2821",263700,2520
"2863",266780,2520
"2903",269880,2570
"2944",272950,2520
"2986",280100,6560
"3026",283190,2550
"3065",286280,2560
"3106",289370,2550
"3149",292690,2730
"3190",295790,2560
"3231",302910,6580
"3271",306000,2520
"3311",309240,2710
"3351",312300,2530
"3394",315370,2480
"3438",318440,2520
"3481",325760,6770
"3520",328850,2550
"3560",331920,2540
"3600",335000,2550
"3639",338080,2550
"3679",341150,2530
"3719",348280,6540
"3759",351340,2530
"3800",354400,2520
"3840",357490,2510
"3884",360570,2520
"3891",363640,2910
"3896",370790,7030
"3902",373850,2900
"3908",376930,2890
"3912",379980,2960
"3917",383070,2970
"3923",386470,3250
"3928",393550,6960
"3934",396620,2910
"3938",399700,2890
"3943",403050,3160
"3947",406070,2930
"3955",409170,2920
"3960",416280,6990
"3964",419540,3170
"3967",422610,3010
"3974",425690,2860
"3981",428740,2890
"3988",431810,2880
"3993",438910,6980
"3999",441990,2950
"4005",445040,2830
"4013",448120,2860
"4020",451150,2870
"4026",454210,2840
"4031",461310,6940
"4038",464400,2900
"4045",467450,2860
"4053",470530,2920
"4059",473570,2850
"4064",476660,2870
"4068",483790,7040
"4074",486880,2930
"4081",489940,2900
"4085",493000,2970
"4090",499250,6130
"4132",502340,2490
"4175",509490,6560
"4218",512580,2520
"4258",515650,2530
"4299",518780,2560
"4340",521870,2500
"4381",524950,2540
"4420",532090,6600
"4463",535330,2660
"4502",538400,2530
"4542",541460,2530
"4582",544540,2540
"4622",547600,2520
"4663",554760,6590
"4704",557830,2530
"4746",560910,2530
"4789",563970,2470
"4830",567030,2520
"4871",570100,2530
"4910",577260,6630
"4952",580330,2480
"4994",583420,2550
"5032",586570,2620
"5074",590450,3290
"5116",593550,2520
"5155",600700,6600
"5195",603780,2550
"5238",607000,2670
"5280",610070,2500
"5320",613140,2530
"5361",616240,2510
"5402",623520,6700
"5444",626600,2520
"5486",629670,2470
"5527",632770,2550
"5570",635870,2520
"5612",638950,2480
