"","X","trial","accent","stress","type","target","condition","block","rt","ppn"
"4",4,"C1.I.4","yes","difference","+written accent, +stress difference","cardiólogo","nogesture",1,3.1959068775177,"pilot_1_wim"
"11",11,"C1.I.11","yes","difference","+written accent, +stress difference","gráfico","nogesture",0,3.07438707351685,"pilot_1_wim"
"49",49,"C3.I.7","yes","same","+written accent, -stress difference","carácter","nogesture",0,3.0920889377594,"pilot_1_wim"
"37",37,"C2.I.16","no","difference","-written accent, +stress difference","alcohol","nogesture",0,3.0500750541687,"pilot_1_wim"
"77",77,"C4.I.14","no","same","-written accent, -stress difference","restaurante","nogesture",0,3.08993291854858,"pilot_1_wim"
"41",41,"C2.I.20","no","difference","-written accent, +stress difference","aristocracia","nogesture",0,3.08120393753052,"pilot_1_wim"
"36",36,"C2.I.15","no","difference","-written accent, +stress difference","uniforme","gesture",1,3.08187198638916,"pilot_1_wim"
"8",8,"C1.I.8","yes","difference","+written accent, +stress difference","fórmula","gesture",0,3.08103108406067,"pilot_1_wim"
"61",61,"C3.I.19","yes","same","+written accent, -stress difference","espárrago","gesture",0,3.09306693077087,"pilot_1_wim"
"74",74,"C4.I.11","no","same","-written accent, -stress difference","ensalada","gesture",0,3.06692600250244,"pilot_1_wim"
"70",70,"C4.I.7","no","same","-written accent, -stress difference","cables","gesture",0,3.09273910522461,"pilot_1_wim"
"54",54,"C3.I.12","yes","same","+written accent, -stress difference","capitán","gesture",0,3.08146095275879,"pilot_1_wim"
"64",64,"C4.I.1","no","same","-written accent, -stress difference","parasol","gesture",1,3.07820510864258,"pilot_1_wim"
"14",14,"C1.I.14","yes","difference","+written accent, +stress difference","católico","gesture",0,3.06873607635498,"pilot_1_wim"
"81",81,"C4.I.18","no","same","-written accent, -stress difference","canal","gesture",0,3.06837201118469,"pilot_1_wim"
"67",67,"C4.I.4","no","same","-written accent, -stress difference","mango","gesture",0,3.06230688095093,"pilot_1_wim"
"45",45,"C3.I.3","yes","same","+written accent, -stress difference","cámara","gesture",0,3.06928992271423,"pilot_1_wim"
"20",20,"C1.I.20","yes","difference","+written accent, +stress difference","cafetería","gesture",0,3.30832505226135,"pilot_1_wim"
"12",12,"C1.I.12","yes","difference","+written accent, +stress difference","océano","gesture",1,3.07173705101013,"pilot_1_wim"
"84",84,"C4.E.21","no","same","-written accent, -stress difference","planeta","gesture",0,3.0536048412323,"pilot_1_wim"
"79",79,"C4.I.16","no","same","-written accent, -stress difference","cabina","gesture",0,3.08725619316101,"pilot_1_wim"
"16",16,"C1.I.16","yes","difference","+written accent, +stress difference","gramófono","gesture",0,3.29756283760071,"pilot_1_wim"
"65",65,"C4.I.2","no","same","-written accent, -stress difference","universidad","gesture",0,3.10048604011536,"pilot_1_wim"
"30",30,"C2.I.9","no","difference","-written accent, +stress difference","radiador","gesture",0,3.0943500995636,"pilot_1_wim"
"10",10,"C1.I.10","yes","difference","+written accent, +stress difference","satélito","nogesture",1,3.07925200462341,"pilot_1_wim"
"50",50,"C3.I.8","yes","same","+written accent, -stress difference","analítico","nogesture",0,3.15716099739075,"pilot_1_wim"
"21",21,"C1.E.21","yes","difference","+written accent, +stress difference","sofá","nogesture",0,3.05965495109558,"pilot_1_wim"
"76",76,"C4.I.13","no","same","-written accent, -stress difference","limonada","nogesture",0,3.09478712081909,"pilot_1_wim"
"29",29,"C2.I.8","no","difference","-written accent, +stress difference","doctor","nogesture",0,3.05225706100464,"pilot_1_wim"
"62",62,"C3.I.20","yes","same","+written accent, -stress difference","helicóptero","nogesture",0,3.08253383636475,"pilot_1_wim"
"66",66,"C4.I.3","no","same","-written accent, -stress difference","formulario","gesture",1,3.08570098876953,"pilot_1_wim"
"56",56,"C3.I.14","yes","same","+written accent, -stress difference","volcán","gesture",0,3.09394001960754,"pilot_1_wim"
"34",34,"C2.I.13","no","difference","-written accent, +stress difference","factor","gesture",0,3.07685399055481,"pilot_1_wim"
"63",63,"C3.E.21","yes","same","+written accent, -stress difference","histórico","gesture",0,3.08620882034302,"pilot_1_wim"
"68",68,"C4.I.5","no","same","-written accent, -stress difference","tomate","gesture",0,3.07667398452759,"pilot_1_wim"
"55",55,"C3.I.13","yes","same","+written accent, -stress difference","pragmática","gesture",0,3.07030916213989,"pilot_1_wim"
"72",72,"C4.I.9","no","same","-written accent, -stress difference","papel","gesture",1,3.11312818527222,"pilot_1_wim"
"25",25,"C2.I.4","no","difference","-written accent, +stress difference","ventilador","gesture",0,3.07278490066528,"pilot_1_wim"
"69",69,"C4.I.6","no","same","-written accent, -stress difference","princesa","gesture",0,3.07861995697021,"pilot_1_wim"
"3",3,"C1.I.3","yes","difference","+written accent, +stress difference","pirámide","gesture",0,3.09604501724243,"pilot_1_wim"
"60",60,"C3.I.18","yes","same","+written accent, -stress difference","romántico","gesture",0,3.07336091995239,"pilot_1_wim"
"39",39,"C2.I.18","no","difference","-written accent, +stress difference","alergia","gesture",0,3.08693599700928,"pilot_1_wim"
"52",52,"C3.I.10","yes","same","+written accent, -stress difference","álbum","nogesture",1,3.08610510826111,"pilot_1_wim"
"22",22,"C2.I.1","no","difference","-written accent, +stress difference","clima","nogesture",0,3.09608292579651,"pilot_1_wim"
"82",82,"C4.I.19","no","same","-written accent, -stress difference","centro","nogesture",0,3.08977794647217,"pilot_1_wim"
"7",7,"C1.I.7","yes","difference","+written accent, +stress difference","teléfono","nogesture",0,3.08230400085449,"pilot_1_wim"
"5",5,"C1.I.5","yes","difference","+written accent, +stress difference","máquina","nogesture",0,3.32328200340271,"pilot_1_wim"
"46",46,"C3.I.4","yes","same","+written accent, -stress difference","número","nogesture",0,3.08056402206421,"pilot_1_wim"
"24",24,"C2.I.3","no","difference","-written accent, +stress difference","profesor","nogesture",1,3.0898220539093,"pilot_1_wim"
"31",31,"C2.I.10","no","difference","-written accent, +stress difference","ilustrador","nogesture",0,3.09985017776489,"pilot_1_wim"
"42",42,"C2.E.21","no","difference","-written accent, +stress difference","elefantes","nogesture",0,3.20508790016174,"pilot_1_wim"
"15",15,"C1.I.15","yes","difference","+written accent, +stress difference","demócrata","nogesture",0,3.06609797477722,"pilot_1_wim"
"33",33,"C2.I.12","no","difference","-written accent, +stress difference","error","nogesture",0,3.06588411331177,"pilot_1_wim"
"71",71,"C4.I.8","no","same","-written accent, -stress difference","proceso","nogesture",0,3.05351090431213,"pilot_1_wim"
"171",17,"C1.I.17","yes","difference","+written accent, +stress difference","micrófono","nogesture",1,3.3208749294281,"pilot_1_wim"
"431",43,"C3.I.1","yes","same","+written accent, -stress difference","brócoli","nogesture",0,3.06884813308716,"pilot_1_wim"
"110",1,"C1.I.1","yes","difference","+written accent, +stress difference","análisis","nogesture",0,3.07487797737122,"pilot_1_wim"
"381",38,"C2.I.17","no","difference","-written accent, +stress difference","actor","nogesture",0,3.08343291282654,"pilot_1_wim"
"751",75,"C4.I.12","no","same","-written accent, -stress difference","chocolate","nogesture",0,3.06703805923462,"pilot_1_wim"
"511",51,"C3.I.9","yes","same","+written accent, -stress difference","círculo","nogesture",0,3.05132412910461,"pilot_1_wim"
"610",6,"C1.I.6","yes","difference","+written accent, +stress difference","automóvil","gesture",1,3.05400800704956,"pilot_1_wim"
"571",57,"C3.I.15","yes","same","+written accent, -stress difference","teoría","gesture",0,3.05974984169006,"pilot_1_wim"
"131",13,"C1.I.13","yes","difference","+written accent, +stress difference","carnívora","gesture",0,3.09104990959167,"pilot_1_wim"
"831",83,"C4.I.20","no","same","-written accent, -stress difference","insectos","gesture",0,3.07559108734131,"pilot_1_wim"
"591",59,"C3.I.17","yes","same","+written accent, -stress difference","académico","gesture",0,3.08645701408386,"pilot_1_wim"
"531",53,"C3.I.11","yes","same","+written accent, -stress difference","ángel","gesture",0,3.05046892166138,"pilot_1_wim"
"210",2,"C1.I.2","yes","difference","+written accent, +stress difference","centímetro","gesture",1,3.06737685203552,"pilot_1_wim"
"441",44,"C3.I.2","yes","same","+written accent, -stress difference","político","gesture",0,3.06939005851746,"pilot_1_wim"
"91",9,"C1.I.9","yes","difference","+written accent, +stress difference","acróbata","gesture",0,3.06567001342773,"pilot_1_wim"
"191",19,"C1.I.19","yes","difference","+written accent, +stress difference","catástrofe","gesture",0,3.08883213996887,"pilot_1_wim"
"471",47,"C3.I.5","yes","same","+written accent, -stress difference","fútbol","gesture",0,3.05167889595032,"pilot_1_wim"
"281",28,"C2.I.7","no","difference","-written accent, +stress difference","horizonte","gesture",0,3.38170099258423,"pilot_1_wim"
"801",80,"C4.I.17","no","same","-written accent, -stress difference","familia","nogesture",1,3.05881786346436,"pilot_1_wim"
"261",26,"C2.I.5","no","difference","-written accent, +stress difference","internet","nogesture",0,3.07518696784973,"pilot_1_wim"
"181",18,"C1.I.18","yes","difference","+written accent, +stress difference","metáfora","nogesture",0,3.07883596420288,"pilot_1_wim"
"481",48,"C3.I.6","yes","same","+written accent, -stress difference","saxofón","nogesture",0,3.31748604774475,"pilot_1_wim"
"781",78,"C4.I.15","no","same","-written accent, -stress difference","blusa","nogesture",0,3.07639098167419,"pilot_1_wim"
"401",40,"C2.I.19","no","difference","-written accent, +stress difference","farmacia","nogesture",0,3.05837988853455,"pilot_1_wim"
"351",35,"C2.I.14","no","difference","-written accent, +stress difference","festival","gesture",1,3.07269096374512,"pilot_1_wim"
"271",27,"C2.I.6","no","difference","-written accent, +stress difference","mamut","gesture",0,3.26400804519653,"pilot_1_wim"
"231",23,"C2.I.2","no","difference","-written accent, +stress difference","vacaciones","gesture",0,3.06648993492126,"pilot_1_wim"
"321",32,"C2.I.11","no","difference","-written accent, +stress difference","color","gesture",0,3.06826210021973,"pilot_1_wim"
"731",73,"C4.I.10","no","same","-written accent, -stress difference","programa","gesture",0,3.05748891830444,"pilot_1_wim"
"581",58,"C3.I.16","yes","same","+written accent, -stress difference","geográfico","gesture",0,3.06076407432556,"pilot_1_wim"
"410",4,"C1.I.4","yes","difference","+written accent, +stress difference","cardiólogo","gesture",1,3.07054400444031,"pilot_1_wim"
"111",11,"C1.I.11","yes","difference","+written accent, +stress difference","gráfico","gesture",0,3.04833793640137,"pilot_1_wim"
"491",49,"C3.I.7","yes","same","+written accent, -stress difference","carácter","gesture",0,3.0675790309906,"pilot_1_wim"
"371",37,"C2.I.16","no","difference","-written accent, +stress difference","alcohol","gesture",0,3.04790306091309,"pilot_1_wim"
"771",77,"C4.I.14","no","same","-written accent, -stress difference","restaurante","gesture",0,3.06817889213562,"pilot_1_wim"
"411",41,"C2.I.20","no","difference","-written accent, +stress difference","aristocracia","gesture",0,3.04934501647949,"pilot_1_wim"
"361",36,"C2.I.15","no","difference","-written accent, +stress difference","uniforme","nogesture",1,3.07233595848083,"pilot_1_wim"
"85",8,"C1.I.8","yes","difference","+written accent, +stress difference","fórmula","nogesture",0,3.06467604637146,"pilot_1_wim"
"611",61,"C3.I.19","yes","same","+written accent, -stress difference","espárrago","nogesture",0,3.0753870010376,"pilot_1_wim"
"741",74,"C4.I.11","no","same","-written accent, -stress difference","ensalada","nogesture",0,3.0543839931488,"pilot_1_wim"
"701",70,"C4.I.7","no","same","-written accent, -stress difference","cables","nogesture",0,3.06662511825562,"pilot_1_wim"
"541",54,"C3.I.12","yes","same","+written accent, -stress difference","capitán","nogesture",0,3.05783700942993,"pilot_1_wim"
